"ABV","IBU","Name","Style","Brewery","City","State","Category"
"132",6,55,"Sky High Rye","American Pale Ale (APA)","Arcadia Brewing Company","Battle Creek"," MI","Ale"
"133",6.2,17,"Whitsun","American Pale Wheat Ale","Arcadia Brewing Company","Battle Creek"," MI","Ale"
"134",5.2,34,"On-On Ale (2008)","American Pale Ale (APA)","Arctic Craft Brewery","Colorado Springs"," CO","Ale"
"135",9.2,50,"Quakertown Stout","American Double / Imperial Stout","Armadillo Ale Works","Denton"," TX","Ale"
"136",5.1,20,"Greenbelt Farmhouse Ale","Saison / Farmhouse Ale","Armadillo Ale Works","Denton"," TX","Other"
"137",5.2,10,"Mo's Gose","Gose","Armstrong Brewing Company","South San Francisco"," CA","Traditional Germanic"
"138",7,45,"Green Bullet Organic India Pale Ale","American IPA","Asher Brewing Company","Boulder"," CO","Ale"
"139",3.2,27,"Rocket Girl","Kölsch","Asheville Brewing Company","Asheville"," NC","Traditional Germanic"
"140",5.3,26,"Ninja Porter","American Porter","Asheville Brewing Company","Asheville"," NC","Ale"
"141",6,69,"Shiva IPA","American IPA","Asheville Brewing Company","Asheville"," NC","Ale"
"142",4.8,15,"Aslan Kölsch","Kölsch","Aslan Brewing Company","Bellingham"," WA","Traditional Germanic"
"143",7.7,68,"Aslan IPA","American IPA","Aslan Brewing Company","Bellingham"," WA","Ale"
"144",7.7,42,"Aslan Amber","American Amber / Red Ale","Aslan Brewing Company","Bellingham"," WA","Ale"
"145",5.6,27,"This Season's Blonde","American Blonde Ale","Aspen Brewing Company","Aspen"," CO","Ale"
"146",7,67,"Independence Pass Ale","American IPA","Aspen Brewing Company","Aspen"," CO","Ale"
"147",5.7,40,"Trolley Stop Stout","American Stout","Astoria Brewing Company","Astoria"," OR","Ale"
"148",8.2,138,"Bitter Bitch Imperial IPA","American Double / Imperial IPA","Astoria Brewing Company","Astoria"," OR","Ale"
"149",6.2,35,"Poop Deck Porter","American Porter","Astoria Brewing Company","Astoria"," OR","Ale"
"150",6,35,"Old Red Beard Amber Ale","American Amber / Red Ale","Astoria Brewing Company","Astoria"," OR","Ale"
"151",7.5,115,"Hop A-Peel","American Double / Imperial IPA","Atwater Brewery","Detroit"," MI","Ale"
"152",5.5,12,"Vanilla Java Porter","American Porter","Atwater Brewery","Detroit"," MI","Ale"
"153",5.2,17,"Michelada","Fruit / Vegetable Beer","Atwater Brewery","Detroit"," MI","Other"
"154",4.5,8,"Dirty Blonde Ale","American Blonde Ale","Atwater Brewery","Detroit"," MI","Ale"
"155",5,62,"Grand Circus IPA","American IPA","Atwater Brewery","Detroit"," MI","Ale"
"156",5,12,"Atwater's Lager","Munich Helles Lager","Atwater Brewery","Detroit"," MI","Lager"
"157",7,56,"Heavy Machinery IPA Series #1: Heavy Fist","American Black Ale","Austin Beerworks","Austin"," TX","Ale"
"158",6.2,57,"Fire Eagle IPA","American IPA","Austin Beerworks","Austin"," TX","Ale"
"159",5.1,33,"Peacemaker","American Pale Ale (APA)","Austin Beerworks","Austin"," TX","Ale"
"160",5.3,24,"Pearl-Snap","German Pilsener","Austin Beerworks","Austin"," TX","Lager"
"161",5.2,20,"Black Thunder","Schwarzbier","Austin Beerworks","Austin"," TX","Traditional Germanic"
"162",8,84,"Raja","American Double / Imperial IPA","Avery Brewing Company","Boulder"," CO","Ale"
"163",6.4,29,"Perzik Saison","Saison / Farmhouse Ale","Avery Brewing Company","Boulder"," CO","Other"
"164",4.7,42,"Avery Joe’s Premium American Pilsner","German Pilsener","Avery Brewing Company","Boulder"," CO","Lager"
"165",5.6,10,"White Rascal","Witbier","Avery Brewing Company","Boulder"," CO","Traditional Germanic"
"166",6.3,69,"Avery India Pale Ale","American IPA","Avery Brewing Company","Boulder"," CO","Ale"
