"ABV","IBU","Name","Style","Brewery","City","State","Category"
"1251",7,32,"Gnarly Brown","American Brown Ale","Madtree Brewing Company","Cincinnati"," OH","Ale"
"1252",6,30,"Happy Amber","American Amber / Red Ale","Madtree Brewing Company","Cincinnati"," OH","Ale"
"1253",5.1,20,"#9","Fruit / Vegetable Beer","Magic Hat Brewing Company","South Burlington"," VT","Other"
"1254",5.5,13,"Elder Betty","Hefeweizen","Magic Hat Brewing Company","South Burlington"," VT","Traditional Germanic"
"1255",5.1,20,"#9","Fruit / Vegetable Beer","Magic Hat Brewing Company","South Burlington"," VT","Other"
"1256",4.2,16,"High Country Pilsner (Current)","German Pilsener","Mammoth Brewing Company","Mammoth Lakes"," CA","Lager"
"1257",6.5,59,"Epic IPA","American IPA","Mammoth Brewing Company","Mammoth Lakes"," CA","Ale"
"1258",4.2,16,"Golden Trout Pilsner","German Pilsener","Mammoth Brewing Company","Mammoth Lakes"," CA","Lager"
"1259",4.5,19,"Real McCoy Amber Ale (Current)","American Amber / Red Ale","Mammoth Brewing Company","Mammoth Lakes"," CA","Ale"
"1260",7.2,23,"Festivus (1)","Winter Warmer","Manayunk Brewing Company","Philadelphia"," PA","Ale"
"1261",6.7,31,"Manayunk Oktoberfest","Märzen / Oktoberfest","Manayunk Brewing Company","Philadelphia"," PA","Traditional Germanic"
"1262",4.5,21,"Belgian Style Session Ale","Belgian Pale Ale","Manayunk Brewing Company","Philadelphia"," PA","Traditional Germanic"
"1263",5.5,59,"Manayunk IPA","American IPA","Manayunk Brewing Company","Philadelphia"," PA","Ale"
"1264",5.5,19,"Yunkin' Punkin'","Pumpkin Ale","Manayunk Brewing Company","Philadelphia"," PA","Ale"
"1265",5,18,"Summer Paradise","American Pale Wheat Ale","Manayunk Brewing Company","Philadelphia"," PA","Ale"
"1266",9,30,"Monk from the 'Yunk","Tripel","Manayunk Brewing Company","Philadelphia"," PA","Traditional Germanic"
"1267",6,14,"Schuylkill Punch","Fruit / Vegetable Beer","Manayunk Brewing Company","Philadelphia"," PA","Other"
"1268",8.5,85,"Dreamin' Double IPA","American Double / Imperial IPA","Manayunk Brewing Company","Philadelphia"," PA","Ale"
"1269",9.9,93,"Chaotic Double IPA","American Double / Imperial IPA","Manzanita Brewing Company","Santee"," CA","Ale"
"1270",8,88,"Manzanita IPA","American IPA","Manzanita Brewing Company","Santee"," CA","Ale"
"1271",6,25,"Riverwalk Blonde Ale","American Blonde Ale","Manzanita Brewing Company","Santee"," CA","Ale"
"1272",9.5,49,"Gillespie Brown Ale","American Brown Ale","Manzanita Brewing Company","Santee"," CA","Ale"
"1273",6.6,44,"Manzanita Pale Ale","American Pale Ale (APA)","Manzanita Brewing Company","Santee"," CA","Ale"
"1274",4.7,20,"Marble Pilsner","German Pilsener","Marble Brewery","Albuquerque"," NM","Lager"
"1275",6.2,57,"Marble India Pale Ale","American IPA","Marble Brewery","Albuquerque"," NM","Ale"
"1276",7.2,64,"Toughcats IPA","American IPA","Marshall Wharf Brewing Company","Belfast"," ME","Ale"
"1277",5,33,"Tug Pale Ale","American Pale Ale (APA)","Marshall Wharf Brewing Company","Belfast"," ME","Ale"
"1278",9.9,75,"Sexy Chaos","Russian Imperial Stout","Marshall Wharf Brewing Company","Belfast"," ME","Ale"
"1279",6.3,42,"Ace Hole American Pale Ale","American Pale Ale (APA)","Marshall Wharf Brewing Company","Belfast"," ME","Ale"
"1280",9.7,89,"Cant Dog Imperial Pale Ale","American Double / Imperial IPA","Marshall Wharf Brewing Company","Belfast"," ME","Ale"
"1281",5,20,"River House","Saison / Farmhouse Ale","Martin House Brewing Company","Fort Worth"," TX","Other"
"1282",6.5,47,"Pretzel Stout","American Stout","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1283",5,35,"Rubberneck Red","American Amber / Red Ale","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1284",8,88,"The Imperial Texan","American Double / Imperial IPA","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1285",8,88,"The Imperial Texan","American Double / Imperial IPA","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1286",5,39,"Day Break 4-Grain Breakfast Beer","Rye Beer","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1287",5,23,"River House Saison","Saison / Farmhouse Ale","Martin House Brewing Company","Fort Worth"," TX","Other"
"1288",6.5,44,"There Will Be Stout","American Stout","Martin House Brewing Company","Fort Worth"," TX","Ale"
"1289",6.5,60,"Our Legacy IPA","American IPA","Matt Brewing Company","Utica"," NY","Ale"
"1290",4.2,1,"Saranac Shandy","Shandy","Matt Brewing Company","Utica"," NY","Other"
"1291",6.5,60,"Our Legacy IPA","American IPA","Matt Brewing Company","Utica"," NY","Ale"
"1292",5.1,23,"Saranac Golden Pilsener (2003)","German Pilsener","Matt Brewing Company","Utica"," NY","Lager"
"1293",4.5,15,"Saranac Adirondack Light (2002)","Light Lager","Matt Brewing Company","Utica"," NY","Lager"
"1294",4.5,15,"DAX Light (1998)","Light Lager","Matt Brewing Company","Utica"," NY","Lager"
"1295",4.8,25,"Saranac Traditional Lager (2000)","American Pale Lager","Matt Brewing Company","Utica"," NY","Lager"
"1296",4.7,3,"Pomegranate Wheat (2008)","Fruit / Vegetable Beer","Matt Brewing Company","Utica"," NY","Other"
"1297",5,12,"Blueberry Blonde Ale","American Blonde Ale","Matt Brewing Company","Utica"," NY","Ale"
"1298",6,56,"Saranac White IPA","American IPA","Matt Brewing Company","Utica"," NY","Ale"
"1299",4.7,10,"Saranac Summer Ale (2011)","American Pale Wheat Ale","Matt Brewing Company","Utica"," NY","Ale"
"1300",5.5,24,"Saranac Pale Ale (12 oz.)","English Pale Ale","Matt Brewing Company","Utica"," NY","Ale"
"1301",5.5,24,"Saranac Pale Ale (16 oz.)","English Pale Ale","Matt Brewing Company","Utica"," NY","Ale"
"1302",5.1,20,"Lahaina Town Brown","American Brown Ale","Maui Brewing Company","Lahaina"," HI","Ale"
"1303",5.5,31,"Pau Hana Pilsner","Czech Pilsener","Maui Brewing Company","Lahaina"," HI","Lager"
"1304",5,16,"Lemongrass Saison","Saison / Farmhouse Ale","Maui Brewing Company","Lahaina"," HI","Other"
"1305",7,48,"Aloha B’ak’tun","Belgian Strong Dark Ale","Maui Brewing Company","Lahaina"," HI","Traditional Germanic"
"1306",8.2,33,"Liquid Breadfruit","Fruit / Vegetable Beer","Maui Brewing Company","Lahaina"," HI","Other"
"1307",6,24,"Sobrehumano Palena'ole","American Amber / Red Ale","Maui Brewing Company","Lahaina"," HI","Ale"
"1308",5,12,"La Perouse White","Witbier","Maui Brewing Company","Lahaina"," HI","Traditional Germanic"
"1309",6.8,68,"Flyin' HI.P.Hay","American IPA","Maui Brewing Company","Lahaina"," HI","Ale"
"1310",5.5,15,"Mana Wheat","American Pale Wheat Ale","Maui Brewing Company","Lahaina"," HI","Ale"
"1311",4.5,18,"Bikini Blonde Lager","Munich Helles Lager","Maui Brewing Company","Lahaina"," HI","Lager"
"1312",5.7,30,"CoCoNut Porter","American Porter","Maui Brewing Company","Lahaina"," HI","Ale"
"1313",6.2,65,"Big Swell IPA","American IPA","Maui Brewing Company","Lahaina"," HI","Ale"
"1314",3.7,34,"Pit Stop Chocolate Porter","American Porter","Mavericks Beer Company","Half Moon Bay"," CA","Ale"
"1315",3.7,21,"Pace Setter Belgian Style Wit","Witbier","Mavericks Beer Company","Half Moon Bay"," CA","Traditional Germanic"
"1316",3.7,53,"Back in the Saddle Rye Pale Ale","American Pale Ale (APA)","Mavericks Beer Company","Half Moon Bay"," CA","Ale"
"1317",6.9,20,"Bushwhacker Cider","Cider","Meckley's Cidery","Somerset Center"," MI","Other"
"1318",6.9,20,"Weim-R-Iner","Cider","Meckley's Cidery","Somerset Center"," MI","Other"
"1319",6.9,20,"Cherry Bomb","Cider","Meckley's Cidery","Somerset Center"," MI","Other"
"1320",7.2,75,"Tsunami IPA","American IPA","Mehana Brewing Co.","Hilo"," HI","Ale"
"1321",7.2,75,"Tsunami IPA","American IPA","Mehana Brewing Co.","Hilo"," HI","Ale"
"1322",4.2,22,"Humpback Blonde Ale","American Blonde Ale","Mehana Brewing Co.","Hilo"," HI","Ale"
"1323",5.2,27,"Hawaiian Crow Porter","American Porter","Mehana Brewing Co.","Hilo"," HI","Ale"
"1324",5.2,23,"Volcano Red Ale","American Amber / Red Ale","Mehana Brewing Co.","Hilo"," HI","Ale"
"1325",5.4,42,"Mauna Kea Pale Ale","American Pale Ale (APA)","Mehana Brewing Co.","Hilo"," HI","Ale"
"1326",5.3,11,"Shark Bait","Fruit / Vegetable Beer","Miami Brewing Company","Miami"," FL","Other"
"1327",5.3,30,"Gator Tail Brown Ale","American Brown Ale","Miami Brewing Company","Miami"," FL","Ale"
"1328",7.1,62,"Miami Vice IPA","American IPA","Miami Brewing Company","Miami"," FL","Ale"
"1329",5.3,16,"Big Rod Coconut Ale","American Blonde Ale","Miami Brewing Company","Miami"," FL","Ale"
"1330",5.6,27,"Mickey Finn's Amber Ale","American Amber / Red Ale","Mickey Finn's Brewery","Libertyville"," IL","Ale"
"1331",6.3,61,"Pleasure Town","American IPA","Midnight Sun Brewing Company","Anchorage"," AK","Ale"
"1332",6.3,61,"Pleasure Town IPA","American IPA","Midnight Sun Brewing Company","Anchorage"," AK","Ale"
"1333",4.8,12,"Snowshoe White Ale","Witbier","Midnight Sun Brewing Company","Anchorage"," AK","Traditional Germanic"
"1334",5,24,"Kodiak Brown Ale","American Brown Ale","Midnight Sun Brewing Company","Anchorage"," AK","Ale"
"1335",5.7,70,"Sockeye Red IPA","American IPA","Midnight Sun Brewing Company","Anchorage"," AK","Ale"
"1336",8,100,"Habitus (2014)","American Double / Imperial IPA","Mike Hess Brewing Company","San Diego"," CA","Ale"
"1337",7.5,85,"Solis","American IPA","Mike Hess Brewing Company","San Diego"," CA","Ale"
"1338",6,24,"Jucundus","Wheat Ale","Mike Hess Brewing Company","San Diego"," CA","Ale"
"1339",8,100,"Habitus","American Double / Imperial IPA","Mike Hess Brewing Company","San Diego"," CA","Ale"
"1340",6.3,30,"Grazias","Cream Ale","Mike Hess Brewing Company","San Diego"," CA","Ale"
"1341",5.8,28,"Claritas","Kölsch","Mike Hess Brewing Company","San Diego"," CA","Traditional Germanic"
"1342",8.3,85,"Vinyl Frontier","American Double / Imperial IPA","Mikerphone Brewing","Chicago"," IL","Ale"
"1343",8,75,"Disco Superfly","American IPA","Mikerphone Brewing","Chicago"," IL","Ale"
"1344",7.5,72,"Misty Mountain Hop","American IPA","Mikerphone Brewing","Chicago"," IL","Ale"
"1345",7.5,59,"One-Hit Wonderful","Belgian IPA","Mikerphone Brewing","Chicago"," IL","Traditional Germanic"
"1346",6.5,28,"En Parfaite Harmonie","Saison / Farmhouse Ale","Mikerphone Brewing","Chicago"," IL","Other"
"1347",4.3,8,"Daft Funk","Berliner Weissbier","Mikerphone Brewing","Chicago"," IL","Traditional Germanic"
"1348",7.5,72,"Love In An Ellavator","American IPA","Mikerphone Brewing","Chicago"," IL","Ale"
"1349",5.3,41,"Spin Doctor","American Pale Ale (APA)","Mikerphone Brewing","Chicago"," IL","Ale"
"1350",5,13,"Keeper (Current)","American Pilsner","Mikkeller","Pottstown"," PA","Lager"
"1351",6.8,61,"Better Half","American IPA","Mikkeller","Pottstown"," PA","Ale"
"1352",4.8,4,"SNO White Ale","Witbier","MillKing It Productions","Royal Oak"," MI","Traditional Germanic"
"1353",4.8,16,"BRIK Irish Red Ale","Irish Red Ale","MillKing It Productions","Royal Oak"," MI","Ale"
"1354",NA,NA,"AXL Pale Ale","American Pale Ale (APA)","MillKing It Productions","Royal Oak"," MI","Ale"
"1355",8.7,80,"Hop Freak","American Double / Imperial IPA","Milwaukee Brewing Company","Milwaukee"," WI","Ale"
"1356",5.1,24,"Louie's Demise Amber Ale","American Amber / Red Ale","Milwaukee Brewing Company","Milwaukee"," WI","Ale"
"1357",7.5,51,"Hop Happy","American IPA","Milwaukee Brewing Company","Milwaukee"," WI","Ale"
"1358",6.5,20,"Booyah Farmhouse Ale","Saison / Farmhouse Ale","Milwaukee Brewing Company","Milwaukee"," WI","Other"
"1359",9.2,33,"O-Gii","Witbier","Milwaukee Brewing Company","Milwaukee"," WI","Traditional Germanic"
"1360",4.8,18,"Flaming Damsel Lager (2010)","Vienna Lager","Milwaukee Brewing Company","Milwaukee"," WI","Lager"
"1361",5.1,24,"Louie’s Demise Immort-Ale (2010)","American Amber / Red Ale","Milwaukee Brewing Company","Milwaukee"," WI","Ale"
"1362",9.9,42,"Axe Head Malt Liquor","American Malt Liquor","Minhas Craft Brewery","Monroe"," WI","Ale"
"1363",5.4,15,"Huber Bock (2014)","Bock","Minhas Craft Brewery","Monroe"," WI","Ale"
"1364",4,11,"Minhas Light (2012)","Light Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1365",5,26,"Huber","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1366",6.2,35,"Clear Creek Ice","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1367",6.2,35,"Clear Creek Ice","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1368",5.5,30,"Mountain Crest","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1369",5.5,30,"Mountain Crest","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1370",5.5,30,"Mountain Creek (2013)","American Pale Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1371",5,13,"Boxer","American Adjunct Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1372",4.2,12,"Boxer Light","Light Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1373",5.5,16,"Boxer Ice","American Adjunct Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1374",5,13,"Boxer","American Adjunct Lager","Minhas Craft Brewery","Monroe"," WI","Lager"
"1375",5,14,"Cortez Gold","Belgian Pale Ale","Mission Brewery","San Diego"," CA","Traditional Germanic"
"1376",6.8,66,"Mission IPA","American IPA","Mission Brewery","San Diego"," CA","Ale"
"1377",4.8,44,"El Conquistador Extra Pale Ale","American Pale Ale (APA)","Mission Brewery","San Diego"," CA","Ale"
"1378",9.2,75,"Shipwrecked Double IPA","American Double / Imperial IPA","Mission Brewery","San Diego"," CA","Ale"
"1379",4,7,"Squeaky Bike Nut Brown Ale","American Brown Ale","Moab Brewery","Moab"," UT","Ale"
"1380",4,5,"Dead Horse Amber","American Pale Wheat Ale","Moab Brewery","Moab"," UT","Ale"
"1381",4,14,"Rocket Bike American Lager","California Common / Steam Beer","Moab Brewery","Moab"," UT","Ale"
"1382",4,41,"Johnny's American IPA","American IPA","Moab Brewery","Moab"," UT","Ale"
"1383",5.5,19,"Boneshaker Brown Ale","English Brown Ale","Moat Mountain Smoke House & Brew...","North Conway"," NH","Ale"
"1384",5.6,37,"Iron Mike Pale Ale","American Pale Ale (APA)","Moat Mountain Smoke House & Brew...","North Conway"," NH","Ale"
"1385",4.2,27,"Monkadelic","American Pale Ale (APA)","Modern Monks Brewery","Lincoln"," NE","Ale"
"1386",7.5,85,"City of the Sun","American IPA","Modern Times Beer","San Diego"," CA","Ale"
"1387",6.8,75,"Booming Rollers","American IPA","Modern Times Beer","San Diego"," CA","Ale"
"1388",5.2,50,"Oneida","American Pale Ale (APA)","Modern Times Beer","San Diego"," CA","Ale"
"1389",6.7,75,"Aurora ","American Amber / Red Ale","Modern Times Beer","San Diego"," CA","Ale"
"1390",5.5,30,"Lomaland","Saison / Farmhouse Ale","Modern Times Beer","San Diego"," CA","Other"
"1391",4.7,46,"Fortunate Islands","American Pale Wheat Ale","Modern Times Beer","San Diego"," CA","Ale"
"1392",5.8,40,"Black House","American Stout","Modern Times Beer","San Diego"," CA","Ale"
"1393",6.5,115,"Blazing World","American Amber / Red Ale","Modern Times Beer","San Diego"," CA","Ale"
"1394",5,22,"Wapiti Amber Ale","American Amber / Red Ale","Mogollon Brewing Company","Flagstaff"," AZ","Ale"
"1395",5.4,18,"Sweet Georgia Brown","American Brown Ale","Monkey Paw Pub & Brewery","San Diego"," CA","Ale"
"1396",8.7,82,"Rich Man's IIPA","American Double / Imperial IPA","Monkey Paw Pub & Brewery","San Diego"," CA","Ale"
"1397",5.8,39,"Monkey Paw Oatmeal Pale Ale","American Pale Ale (APA)","Monkey Paw Pub & Brewery","San Diego"," CA","Ale"
"1398",5.6,28,"Montauk Summer Ale","American Blonde Ale","Montauk Brewing Company","Montauk"," NY","Ale"
"1399",6,49,"Driftwood Ale","Extra Special / Strong Bitter (ESB)","Montauk Brewing Company","Montauk"," NY","Ale"
"1400",5.6,18,"When Helles Freezes Over","Munich Helles Lager","Morgan Street Brewery","Saint Louis"," MO","Lager"
"1401",4.9,24,"Morgan Street Oktoberfest","Märzen / Oktoberfest","Morgan Street Brewery","Saint Louis"," MO","Traditional Germanic"
"1402",4.7,14,"Honey Wheat","American Pale Wheat Ale","Morgan Street Brewery","Saint Louis"," MO","Ale"
"1403",4.6,24,"Black Bear Dark Lager","Schwarzbier","Morgan Street Brewery","Saint Louis"," MO","Traditional Germanic"
"1404",5,35,"Golden Pilsner","German Pilsener","Morgan Street Brewery","Saint Louis"," MO","Lager"
"1405",5.2,21,"Cali Creamin'","Cream Ale","Mother Earth Brew Company","Vista"," CA","Ale"
"1406",5,33,"Second Wind Pale Ale","American Pale Ale (APA)","Mother Earth Brewing Company","Kinston"," NC","Ale"
"1407",5,5,"Sunny Haze","Hefeweizen","Mother Earth Brewing Company","Kinston"," NC","Traditional Germanic"
"1408",5.2,21,"Towhead","American Blonde Ale","Mother's Brewing","Springfield"," MO","Ale"
"1409",7,70,"Lil' Helper","American IPA","Mother's Brewing","Springfield"," MO","Ale"
"1410",8.2,46,"Train Wreck","American Amber / Red Ale","Mountain Town Brewing Company ","Mount Pleasant"," MI","Ale"
"1411",8.5,31,"Full Moon Belgian White Ale","Witbier","Mudshark Brewing Company","Lake Havasu City"," AZ","Traditional Germanic"
"1412",7.2,64,"Desert Magic IPA","American IPA","Mudshark Brewing Company","Lake Havasu City"," AZ","Ale"
"1413",4.2,12,"Up River Light","Light Lager","Mudshark Brewing Company","Lake Havasu City"," AZ","Lager"
"1414",8.5,31,"Full Moon Belgian White Ale (2007)","Witbier","Mudshark Brewing Company","Lake Havasu City"," AZ","Traditional Germanic"
"1415",5.5,9,"Dry Heat Hefeweizen (2006)","Hefeweizen","Mudshark Brewing Company","Lake Havasu City"," AZ","Traditional Germanic"
"1416",5,20,"Mustang Sixty-Six","American Amber / Red Lager","Mustang Brewing Company","Mustang"," OK","Lager"
"1417",4,17,"Mustang '33","American Pale Lager","Mustang Brewing Company","Mustang"," OK","Lager"
"1418",4,17,"Session '33 (2011)","American Pale Lager","Mustang Brewing Company","Mustang"," OK","Lager"
"1419",5.3,10,"Mustang Golden Ale","American Blonde Ale","Mustang Brewing Company","Mustang"," OK","Ale"
"1420",5.3,14,"Washita Wheat","American Pale Wheat Ale","Mustang Brewing Company","Mustang"," OK","Ale"
"1421",3.7,10,"Gansett Light","Light Lager","Narragansett Brewing Company","Providence"," RI","Lager"
"1422",5.2,30,"Bohemian Pils","American Pilsner","Narragansett Brewing Company","Providence"," RI","Lager"
"1423",5.3,30,"Autocrat Coffee Milk Stout","Milk / Sweet Stout","Narragansett Brewing Company","Providence"," RI","Ale"
"1424",8.6,35,"Narragansett Bohemian Pilsner","German Pilsener","Narragansett Brewing Company","Providence"," RI","Lager"
"1425",4.2,24,"Narragansett Summer Ale","American Pale Wheat Ale","Narragansett Brewing Company","Providence"," RI","Ale"
"1426",5,22,"Narragansett Cream Ale","Cream Ale","Narragansett Brewing Company","Providence"," RI","Ale"
"1427",4.2,24,"Narragansett Summer Ale","American Pale Wheat Ale","Narragansett Brewing Company","Providence"," RI","Ale"
"1428",7,22,"Narragansett Porter","American Porter","Narragansett Brewing Company","Providence"," RI","Ale"
"1429",6.5,32,"Narragansett Bock","Bock","Narragansett Brewing Company","Providence"," RI","Ale"
"1430",5.5,15,"Narragansett Fest Lager","Märzen / Oktoberfest","Narragansett Brewing Company","Providence"," RI","Traditional Germanic"
"1431",5.3,18,"Undun Blonde Ale","American Blonde Ale","Natian Brewery","Portland"," OR","Ale"
"1432",7.4,64,"CuDa Cascadian Dark Ale","American Black Ale","Natian Brewery","Portland"," OR","Ale"
"1433",8.5,86,"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA","Natian Brewery","Portland"," OR","Ale"
"1434",8.5,86,"Old Grogham Imperial India Pale Ale (2012)","American Double / Imperial IPA","Natian Brewery","Portland"," OR","Ale"
"1435",7.4,64,"CuDa Cascadian Dark Ale (2012)","American Black Ale","Natian Brewery","Portland"," OR","Ale"
"1436",5.3,18,"Undun Blonde Ale (2012)","American Blonde Ale","Natian Brewery","Portland"," OR","Ale"
"1437",6.1,11,"Wick For Brains","Pumpkin Ale","Nebraska Brewing Company","Papillion"," NE","Ale"
"1438",6.5,65,"Nebraska India Pale Ale","American IPA","Nebraska Brewing Company","Papillion"," NE","Ale"
"1439",4.8,10,"EOS Hefeweizen","Hefeweizen","Nebraska Brewing Company","Papillion"," NE","Traditional Germanic"
"1440",4.8,15,"Brunette Nut Brown Ale","English Brown Ale","Nebraska Brewing Company","Papillion"," NE","Ale"
"1441",5.7,29,"Cardinal Pale Ale","American Pale Ale (APA)","Nebraska Brewing Company","Papillion"," NE","Ale"
"1442",6.6,60,"County Line IPA","American IPA","Neshaminy Creek Brewing Company","Croydon"," PA","Ale"
"1443",4.8,20,"Trauger Pilsner","German Pilsener","Neshaminy Creek Brewing Company","Croydon"," PA","Lager"
"1444",4.5,40,"Slow Ride","American IPA","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1445",6.5,70,"Ranger IPA","American IPA","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1446",5,29,"Shift","American Pale Lager","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1447",5.6,21,"1554 Black Lager","Euro Dark Lager","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1448",4.8,22,"Blue Paddle","Czech Pilsener","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1449",5.5,26,"California Route","American Amber / Red Lager","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1450",5.2,14,"Snapshot","American Pale Wheat Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1451",4.8,11,"Sunshine Wheat Beer","American Pale Wheat Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1452",5.2,18,"Fat Tire Amber Ale","American Amber / Red Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1453",5,29,"Shift (1)","American Pale Lager","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1454",5.2,18,"Fat Tire Amber Ale (2011)","American Amber / Red Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1455",5,29,"Shift","American Pale Lager","New Belgium Brewing Company","Fort Collins"," CO","Lager"
"1456",6.5,70,"Ranger IPA","American IPA","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1457",5.2,18,"Fat Tire Amber Ale","American Amber / Red Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1458",6.5,70,"Ranger IPA (Current)","American IPA","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1459",4.8,11,"Sunshine Wheat Beer (2009)","American Pale Wheat Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1460",5.2,18,"Fat Tire Amber Ale (2008)","American Amber / Red Ale","New Belgium Brewing Company","Fort Collins"," CO","Ale"
"1461",3.4,6,"Weiss Trash Culture","Berliner Weissbier","New England Brewing Company","Woodbridge"," CT","Traditional Germanic"
"1462",6.2,61,"Sea Hag IPA","American IPA","New England Brewing Company","Woodbridge"," CT","Ale"
"1463",5,18,"Elm City Pilsner","American Pilsner","New England Brewing Company","Woodbridge"," CT","Lager"
"1464",5,27,"Atlantic Amber Ale (2004)","American Amber / Red Ale","New England Brewing Company","Woodbridge"," CT","Ale"
"1465",9,46,"668 Neighbor of the Beast12 oz.","Belgian Pale Ale","New England Brewing Company","Woodbridge"," CT","Traditional Germanic"
"1466",8.8,85,"Gandhi-Bot Double IPA (12 oz.)","American Double / Imperial IPA","New England Brewing Company","Woodbridge"," CT","Ale"
"1467",9,46,"668 Neighbor of the Beast (16 oz.) (2010)","Belgian Pale Ale","New England Brewing Company","Woodbridge"," CT","Traditional Germanic"
"1468",8.8,85,"Gandhi-Bot Double IPA (16 oz.) (2010)","American Double / Imperial IPA","New England Brewing Company","Woodbridge"," CT","Ale"
"1469",5,18,"Elm City Lager (2007)","American Pilsner","New England Brewing Company","Woodbridge"," CT","Lager"
"1470",5,27,"Atlantic Amber Ale (2007)","American Amber / Red Ale","New England Brewing Company","Woodbridge"," CT","Ale"
"1471",6.2,61,"Sea Hag IPA (Current)","American IPA","New England Brewing Company","Woodbridge"," CT","Ale"
"1472",5,33,"Rebirth Pale Ale","American Pale Ale (APA)","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1473",6.8,35,"Irish Channel Stout","American Stout","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1474",8.8,83,"MechaHopzilla","American Double / Imperial IPA","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1475",6.5,59,"Hopitoulas IPA","American IPA","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1476",3.9,9,"NOLA Brown Ale","English Dark Mild Ale","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1477",4.9,10,"NOLA Blonde Ale","American Blonde Ale","New Orleans Lager & Ale Brewing ...","New Orleans"," LA","Ale"
"1478",5.6,20,"Skylight","Dunkelweizen","New Republic Brewing Company","College Station"," TX","Traditional Germanic"
"1479",5.6,30,"Kadigan","American Blonde Ale","New Republic Brewing Company","College Station"," TX","Ale"
"1480",5.2,50,"Dammit Jim!","American Amber / Red Ale","New Republic Brewing Company","College Station"," TX","Ale"
"1481",5.4,19,"Nut Brown Ale","English Brown Ale","New South Brewing Company","Myrtle Beach"," SC","Ale"
"1482",4.6,3,"White Ale","Witbier","New South Brewing Company","Myrtle Beach"," SC","Traditional Germanic"
"1483",4.2,35,"Cream Ale","Cream Ale","Newburgh Brewing Company","Newburgh"," NY","Ale"
"1484",7.2,64,"Green Head IPA","American IPA","Newburyport Brewing Company","Newburyport"," MA","Ale"
"1485",5.4,9,"Plum Island Belgian White","Witbier","Newburyport Brewing Company","Newburyport"," MA","Traditional Germanic"
"1486",5.5,36,"Newburyport Pale Ale","American Pale Ale (APA)","Newburyport Brewing Company","Newburyport"," MA","Ale"
"1487",5.5,26,"Marblehead","American Amber / Red Ale","Night Shift Brewing","Everett"," MA","Ale"
"1488",5.1,31,"Jam Session","American Pale Ale (APA)","NoDa Brewing Company","Charlotte"," NC","Ale"
"1489",7.2,80,"Hop Drop 'N Roll IPA","American IPA","NoDa Brewing Company","Charlotte"," NC","Ale"
"1490",6,54,"Paleo IPA","English India Pale Ale (IPA)","North Country Brewing Company","Slippery Rock"," PA","Ale"
"1491",6.1,29,"Buck Snort Stout","American Stout","North Country Brewing Company","Slippery Rock"," PA","Ale"
"1492",5.5,21,"Station 33 Firehouse Red","Irish Red Ale","North Country Brewing Company","Slippery Rock"," PA","Ale"
"1493",4.5,18,"Slimy Pebble Pils","German Pilsener","North Country Brewing Company","Slippery Rock"," PA","Lager"
"1494",4.5,50,"Get Together","American IPA","NorthGate Brewing ","Minneapolis"," MN","Ale"
"1495",4.9,26,"Maggie's Leap","Milk / Sweet Stout","NorthGate Brewing ","Minneapolis"," MN","Ale"
"1496",4.8,19,"Wall's End","English Brown Ale","NorthGate Brewing ","Minneapolis"," MN","Ale"
